cve_id,affected_vendor,vulnerability
CVE-2020-1492,Microsoft,Microsoft Windows QuickTime Video Parsing Use-After-Free Remote Code Execution Vulnerability
CVE-2020-1561,Microsoft,Microsoft Windows fontdrvhost Font Parsing Use-After-Free Remote Code Execution Vulnerability
CVE-2020-1560,Microsoft,Microsoft Windows av1decodermft_store MP4 File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-1555,Microsoft,Microsoft Chakra Inline Cache Out-Of-Bounds Read Remote Code Execution Vulnerability
CVE-2020-1581,Microsoft,Microsoft Office OfficeClickToRun Time-Of-Check Time-Of-Use Privilege Escalation Vulnerability
CVE-2020-1493,Microsoft,Microsoft Outlook EML Rendering Out-Of-Bounds Read Remote Code Execution Vulnerability
CVE-2020-1520,Microsoft,Microsoft Windows PFB Font File Heap-based Buffer Overflow Privilege Escalation Vulnerability
CVE-2020-1556,Microsoft,Microsoft Windows WalletService Race Condition Information Disclosure Vulnerability
CVE-2020-1556,Microsoft,Microsoft Windows WalletService Race Condition Information Disclosure Vulnerability
CVE-2020-1337,Microsoft,Microsoft Windows Print Spooler Directory Junction Privilege Escalation Vulnerability
CVE-2020-1577,Microsoft,Microsoft Windows findBaseLigature TTF Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-1585,Microsoft,Microsoft Windows av1decodermft_store AVIF File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-1574,Microsoft,Microsoft Windows WEBP VP8X Integer Overflow Remote Code Execution Vulnerability
CVE-2020-9715,Adobe,Adobe Acrobat Reader DC ESObject Use-After-Free Remote Code Execution Vulnerability
CVE-2020-9712,Adobe,Adobe Acrobat Pro DC Web2PDF:AppLinks JavaScript Restrictions Bypass Vulnerability
CVE-2020-9710,Adobe,Adobe Acrobat Pro DC convert Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-9706,Adobe,Adobe Acrobat Pro DC updateFeed Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-9706,Adobe,Adobe Acrobat Pro DC removeFeed Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-9707,Adobe,Adobe Acrobat Pro DC selectFeed Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-9706,Adobe,Adobe Acrobat Pro DC addFeed Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-9697,Adobe,Adobe Acrobat Reader DC app.measureDialog Information Disclosure Vulnerability
CVE-2020-9694,Adobe,Adobe Acrobat Reader DC JPEG2000 Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-9693,Adobe,Adobe Acrobat Reader DC JPEG2000 Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-15708,Canonical,Canonical Ubuntu Virtualization Library Arbitrary File Write Privilege Escalation Vulnerability
CVE-2020-15704,Canonical,Canonical Ubuntu Point-to-Point Protocol Daemon Arbitrary File Read Information Disclosure Vulnerability
CVE-2020-15702,Canonical,Canonical Ubuntu apport Time-Of-Check Time-Of-Use Privilege Escalation Vulnerability
CVE-2020-11936,Canonical,Canonical Ubuntu apport Unnecessary Privileges Information Disclosure Vulnerability
,Micro Focus,Micro Focus Secure Messaging Gateway manage_domains_save_data SaveData Command Injection Remote Code Execution Vulnerability
CVE-2020-17389,Marvell,Marvell QConvergeConsole GWTTestServiceImpl decryptFile Directory Traversal Remote Code Execution Vulnerability
CVE-2020-17388,Marvell,Marvell QConvergeConsole Exposed Dangerous Method or Function Remote Code Execution
CVE-2020-17387,Marvell,Marvell QConvergeConsole writeObjectToConfigFile Directory Traversal Remote Code Execution Vulnerability
CVE-2020-15645,Marvell,Marvell QConvergeConsole getFileFromURL Unrestricted File Upload Remote Code Execution Vulnerability
CVE-2020-15644,Marvell,Marvell QConvergeConsole setAppFileBytes Directory Traversal Remote Code Execution Vulnerability
CVE-2020-15643,Marvell,Marvell QConvergeConsole saveAsText Directory Traversal Remote Code Execution Vulnerability
CVE-2020-15642,Marvell,Marvell QConvergeConsole isHPSmartComponent Command Injection Remote Code Execution Vulnerability
CVE-2020-15641,Marvell,Marvell QConvergeConsole getFileUploadBytes Directory Traversal Information Disclosure Vulnerability
CVE-2020-15640,Marvell,Marvell QConvergeConsole getFileUploadBytes Directory Traversal Information Disclosure Vulnerability
CVE-2020-15639,Marvell,Marvell QConvergeConsole decryptFile Directory Traversal Remote Code Execution Vulnerability
CVE-2020-16223,Delta Industrial Automation,Delta Industrial Automation TPEditor TPE File Parsing Heap-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-16227,Delta Industrial Automation,Delta Industrial Automation TPEditor TPE File Parsing Memory Corruption Remote Code Execution Vulnerability
CVE-2020-16225,Delta Industrial Automation,Delta Industrial Automation TPEditor TPE File Parsing Write-what-where Condition Remote Code Execution Vulnerability
CVE-2020-16219,Delta Industrial Automation,Delta Industrial Automation TPEditor TPE File Parsing Out-Of-Bounds Read Remote Code Execution Vulnerability
CVE-2020-16221,Delta Industrial Automation,Delta Industrial Automation TPEditor TPE File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-16219,Delta Industrial Automation,Delta Industrial Automation TPEditor TPE File Parsing Out-Of-Bounds Read Remote Code Execution Vulnerability
CVE-2020-9939,Apple,(Pwn2Own) Apple macOS kextload Time-Of-Check Time-Of-Use Memory Corruption Vulnerability
CVE-2020-16207,Advantech,Advantech WebAccess/HMI Designer PM3 File Parsing Heap-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-16207,Advantech,Advantech WebAccess/HMI Designer PM3 File Parsing Heap-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-16211,Advantech,Advantech WebAccess/HMI Designer PM3 File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-16213,Advantech,Advantech WebAccess/HMI Designer PM3 File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-16207,Advantech,Advantech WebAccess/HMI Designer PM3 File Parsing Heap-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-16229,Advantech,Advantech WebAccess/HMI Designer PM3 File Parsing Type Confusion Remote Code Execution Vulnerability
CVE-2020-16215,Advantech,Advantech WebAccess IOCTL 0x2711 BwPFile Stack-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-16217,Advantech,Advantech WebAccess/HMI Designer PM3 File Parsing Double Free Remote Code Execution Vulnerability
CVE-2020-16207,Advantech,Advantech WebAccess/HMI Designer PM3 File Parsing Heap-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-16207,Advantech,Advantech WebAccess/HMI Designer PM3 File Parsing Heap-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-7460,FreeBSD,FreeBSD Kernel sendmsg System Call Time-Of-Check Time-Of-Use Privilege Escalation Vulnerability
CVE-2020-16203,Delta Industrial Automation,Delta Industrial Automation CNCSoft ScreenEditor DPB File Parsing Uninitialized Pointer Dereference Remote Code Execution Vulnerability
CVE-2020-16201,Delta Industrial Automation,Delta Industrial Automation CNCSoft ScreenEditor DPB File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-16201,Delta Industrial Automation,Delta Industrial Automation CNCSoft ScreenEditor DPB File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-16201,Delta Industrial Automation,Delta Industrial Automation CNCSoft ScreenEditor DPB File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-16201,Delta Industrial Automation,Delta Industrial Automation CNCSoft ScreenEditor DPB File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-16199,Delta Industrial Automation,Delta Industrial Automation CNCSoft ScreenEditor DPB File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-16201,Delta Industrial Automation,Delta Industrial Automation CNCSoft ScreenEditor DPB File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-16201,Delta Industrial Automation,Delta Industrial Automation CNCSoft ScreenEditor DPB File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-16199,Delta Industrial Automation,Delta Industrial Automation CNCSoft ScreenEditor DPB File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-16199,Delta Industrial Automation,Delta Industrial Automation CNCSoft ScreenEditor DPB File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-9875,Apple,Apple macOS ImageIO EXR Parsing Integer Overflow Remote Code Execution Vulnerability
CVE-2020-15636,NETGEAR,NETGEAR Multiple Routers check_ra Stack-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-15635,NETGEAR,NETGEAR R6700 acsd Stack-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-15634,NETGEAR,NETGEAR R6700 httpd strtblupgrade Format String Remote Code Execution Vulnerability
CVE-2020-14347,X.Org,X.Org Server Pixel Data Uninitialized Memory Information Disclosure Vulnerability
CVE-2020-15638,Foxit,Foxit PhantomPDF JSCreate Type Confusion Remote Code Execution Vulnerability
CVE-2020-15637,Foxit,Foxit PhantomPDF SetLocalDescription Use-After-Free Information Disclosure Vulnerability
CVE-2019-13510,Rockwell Automation,Rockwell Automation Arena Simulation DOE File Parsing Use-After-Free Remote Code Execution Vulnerability
CVE-2019-13510,Rockwell Automation,Rockwell Automation Arena Simulation DOE File Parsing Use-After-Free Remote Code Execution Vulnerability
CVE-2019-13510,Rockwell Automation,Rockwell Automation Arena Simulation DOE File Parsing Use-After-Free Remote Code Execution Vulnerability
CVE-2019-13510,Rockwell Automation,Rockwell Automation Arena Simulation DOE File Parsing Use-After-Free Remote Code Execution Vulnerability
CVE-2019-13510,Rockwell Automation,Rockwell Automation Arena Simulation DOE File Parsing Use-After-Free Remote Code Execution Vulnerability
CVE-2019-13510,Rockwell Automation,Rockwell Automation Arena Simulation DOE File Parsing Use-After-Free Remote Code Execution Vulnerability
,IBM,(0Day) IBM Informix bts_tracefile Directory Traversal Remote Code Execution Vulnerability
CVE-2020-1400,Microsoft,Microsoft Windows JET Database Engine Integer Underflow Remote Code Execution Vulnerability
CVE-2020-1421,Microsoft,Microsoft Windows LNK File Parsing Type Confusion Remote Code Execution Vulnerability
CVE-2020-9680,Adobe,Adobe Prelude MP4 File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-9679,Adobe,Adobe Prelude MOV File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-9678,Adobe,Adobe Prelude MP4 File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-9677,Adobe,Adobe Prelude 3GP File Parsing Out-Of-Bounds Read Remote Code Execution Vulnerability
CVE-2020-9687,Adobe,Adobe Photoshop MP4 File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-9686,Adobe,Adobe Photoshop MOV File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-9685,Adobe,Adobe Photoshop MP4 File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-9684,Adobe,Adobe Photoshop MP4 File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-9683,Adobe,Adobe Photoshop 3GP File Parsing Out-Of-Bounds Read Remote Code Execution Vulnerability
CVE-2020-9674,Adobe,Adobe Bridge MP4 File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-9676,Adobe,Adobe Bridge MP4 File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-9675,Adobe,Adobe Bridge 3GP File Parsing Out-Of-Bounds Read Remote Code Execution Vulnerability
CVE-2020-9936,Apple,Apple macOS decodePICT PIC Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-9894,Apple,Apple Safari getAnimations Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-9884,Apple,Apple macOS AudioToolboxCore CAF File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-9893,Apple,Apple Safari RenderWidget Use-After-Free Remote Code Execution Vulnerability
,Microsoft,(0Day) Microsoft Windows hevcdecoder_store HEIC File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-14703,Oracle,Oracle VirtualBox e1000 Unintialized Memory Information Disclosure Vulnerability
CVE-2020-14704,Oracle,Oracle VirtualBox BusLogicSCSI Uninitialized Memory Information Disclosure Vulnerability
CVE-2020-14700,Oracle,Oracle VirtualBox e1000 Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-14699,Oracle,Oracle VirtualBox e1000 Integer Underflow Privilege Escalation Vulnerability
CVE-2020-14698,Oracle,Oracle VirtualBox virtio-net Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-14695,Oracle,Oracle VirtualBox BusLogicSCSI Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-14694,Oracle,Oracle VirtualBox BusLogicSCSI Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-14673,Oracle,Oracle VirtualBox LsiLogicSCSI Time-Of-Check Time-Of-Use Information Disclosure Vulnerability
CVE-2020-14664,Oracle,Oracle Java Runtime Environment HTML Rendering Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-14674,Oracle,Oracle VirtualBox LsiLogicSCSI Time-Of-Check Time-Of-Use Privilege Escalation Vulnerability
CVE-2020-14675,Oracle,Oracle VirtualBox PCnet Time-Of-Check Time-Of-Use Privilege Escalation Vulnerability
CVE-2020-14676,Oracle,Oracle VirtualBox PCnet Out-Of-Bounds Access Privilege Escalation Vulnerability
CVE-2020-14677,Oracle,Oracle VirtualBox PCnet Time-Of-Check Time-Of-Use Privilege Escalation Vulnerability
CVE-2020-14650,Oracle,Oracle VirtualBox LsiLogicSCSI Time-Of-Check Time-Of-Use Information Disclosure Vulnerability
CVE-2020-14649,Oracle,Oracle VirtualBox LsiLogicSCSI Time-Of-Check Time-Of-Use Privilege Escalation Vulnerability
CVE-2020-14647,Oracle,Oracle VirtualBox LsiLogicSCSI Out-Of-Bounds Write Privilege Escalation Vulnerability
CVE-2020-14648,Oracle,Oracle VirtualBox LsiLogicSCSI Time-Of-Check Time-Of-Use Information Disclosure Vulnerability
CVE-2020-14646,Oracle,Oracle VirtualBox LsiLogicSCSI Out-Of-Bounds Write Privilege Escalation Vulnerability
CVE-2020-14629,Oracle,Oracle VirtualBox virtio-net Uninitialized Memory Information Disclosure Vulnerability
CVE-2020-14628,Oracle,Oracle VirtualBox Guest Additions Unnecessary Privileges Local Privilege Escalation Vulnerability
CVE-2020-14625,Oracle,Oracle WebLogic Server T3 Protocol Deserialization of Untrusted Data Remote Code Execution Vulnerability
CVE-2020-9650,Adobe,Adobe Media Encoder MP4 File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-9646,Adobe,Adobe Media Encoder MP4 File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-9649,Adobe,Adobe Media Encoder 3GP File Parsing Out-Of-Bounds Read Remote Code Execution Vulnerability
CVE-2020-15633,D-Link,D-Link Multiple Routers HNAP GetCAPTCHAsetting Authentication Bypass Vulnerability
CVE-2020-15632,D-Link,D-Link DIR-842 HNAP GetCAPTCHAsetting Authentication Bypass Vulnerability
CVE-2020-15631,D-Link,D-Link DAP-1860 HNAP SOAPAction Command Injection Remote Code Execution Vulnerability
CVE-2020-4464,IBM,IBM WebSphere Application Server SOAP Deserialization of Untrusted Data Remote Code Execution Vulnerability
CVE-2020-1436,Microsoft,Microsoft Windows PFB Font File Out-Of-Bounds Write Privilege Escalation Vulnerability
CVE-2020-0987,Microsoft,Microsoft Windows mf3216 EMF EMR_SETDIBITSTODEVICE Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-1355,Microsoft,Microsoft Windows fontdrvhost Font Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-1439,Microsoft,Microsoft SharePoint Scorecards Deserialization of Untrusted Data Remote Code Execution Vulnerability
CVE-2020-1382,Microsoft,(Pwn2Own) Microsoft Windows DirectComposition RemoveBindingManagerReferenceFromTrackerIfNecessary Use-After-Free Privilege Escalation Vulnerability
CVE-2020-1381,Microsoft,(Pwn2Own) Microsoft Windows DirectComposition SetBufferProperty Use-After-Free Privilege Escalation Vulnerability
CVE-2020-15630,Foxit,Foxit Studio Photo PNG File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-15629,Foxit,Foxit Studio Photo TIF File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-14497,Advantech,Advantech iView TaskEditDeviceTable getTaskEditorSearchDevices SQL Injection Remote Code Execution Vulnerability
CVE-2020-14497,Advantech,Advantech iView TaskEditDeviceTable updateSelected SQL Injection Information Disclosure Vulnerability
CVE-2020-14499,Advantech,Advantech iView UserServlet getAllUsersAccountInfo Improper Access Control Information Disclosure Vulnerability
CVE-2020-14497,Advantech,Advantech iView TaskEditDeviceTable getDeviceCount SQL Injection Remote Code Execution Vulnerability
CVE-2020-14497,Advantech,Advantech iView DeviceTreeTable getUpdateDeviceListDetails SQL Injection Information Disclosure Vulnerability
CVE-2020-14497,Advantech,Advantech iView TaskEditDeviceTable clearTaskEditorTable SQL Injection Information Disclosure Vulnerability
CVE-2020-14497,Advantech,Advantech iView TaskEditDeviceTable initTaskEditorSearchValues SQL Injection Remote Code Execution Vulnerability
CVE-2020-14497,Advantech,Advantech iView User setUserAccountInfo SQL Injection Information Disclosure Vulnerability
CVE-2020-14497,Advantech,Advantech iView User addUser SQL Injection Information Disclosure Vulnerability
CVE-2020-14497,Advantech,Advantech iView User checkForDuplicateUserName SQL Injection Remote Code Execution Vulnerability
CVE-2020-14501,Advantech,Advantech iView UserServlet performDeleteUser Missing Authentication for Critical Function Information Disclosure Vulnerability
CVE-2020-14497,Advantech,Advantech iView TaskEditDeviceTable updateDeviceAuthentication SQL Injection Information Disclosure Vulnerability
CVE-2020-14497,Advantech,Advantech iView LinksTable deleteLinks SQL Injection Remote code Execution Vulnerability
CVE-2020-14497,Advantech,Advantech iView DeviceTreeTable setDeviceAuthentication SQL Injection Information Disclosure Vulnerability
CVE-2020-14497,Advantech,Advantech iView UpdateTable insertUpdateItem SQL Injection Information Disclosure Vulnerability
CVE-2020-14497,Advantech,Advantech iView ZTPConfigTable findConfiguration SQL Injection Remote Code Execution Vulnerability
CVE-2020-14497,Advantech,Advantech iView TaskEditDeviceTable updateSelectedPROMVersion SQL Injection Information Disclosure Vulnerability
CVE-2020-14497,Advantech,Advantech iView DeviceTreeTable updateSegmentInfo SQL Injection Information Disclosure Vulnerability
CVE-2020-14497,Advantech,Advantech iView ZTPConfigTable findConfiguration SQL Injection Remote Code Execution Vulnerability
CVE-2020-14497,Advantech,Advantech iView TaskMgrTable getExportDataDetails SQL Injection Remote Code Execution Vulnerability
CVE-2020-14497,Advantech,Advantech iView TaskMgrTable getExportData SQL Injection Remote Code Execution Vulnerability
CVE-2020-14497,Advantech,Advantech iView NetworkServlet SQL Injection Information Disclosure Vulnerability
CVE-2020-14507,Advantech,Advantech iView LinksTable exportLinks Directory Traversal Remote Code Execution Vulnerability
CVE-2020-14497,Advantech,Advantech iView TrapTable retrieveActiveTrapCount SQL Injection Remote Code Execution Vulnerability
CVE-2020-14497,Advantech,Advantech iView DeviceTreeTable getInventoryReportData SQL Injection Remote Code Execution Vulnerability
CVE-2020-14497,Advantech,Advantech iView TrapEventConfig retrieveDeviceTrapConfig SQL Injection Remote Code Execution Vulnerability
CVE-2020-14497,Advantech,Advantech iView ConfigurationTable setConfigurationItem SQL Injection Information Disclosure Vulnerability
CVE-2020-14497,Advantech,Advantech iView NetworkServlet SQL Injection Remote Code Execution Vulnerability
CVE-2020-14507,Advantech,Advantech iView NetworkServlet Directory Traversal Remote Code Execution Vulnerability
CVE-2020-14507,Advantech,Advantech iView MenuServlet Directory Traversal Information Disclosure Vulnerability
CVE-2020-14497,Advantech,Advantech iView UserServlet SQL Injection Remote Code Execution Vulnerability
CVE-2020-14497,Advantech,Advantech iView DeviceTreeTable getInventoryExportData SQL Injection Remote Code Execution Vulnerability
CVE-2020-14497,Advantech,Advantech iView PSTable getPSInventoryExportData SQL Injection Remote Code Execution Vulnerability
CVE-2020-14497,Advantech,Advantech iView DeviceTreeTable updateNamingData SQL Injection Information Disclosure Vulnerability
CVE-2020-14497,Advantech,Advantech iView SystemTable updateLDAPSettings SQL Injection Information Disclosure Vulnerability
CVE-2020-14503,Advantech,Advantech iView NetworkServlet Improper Input Validation Remote Code Execution Vulnerability
CVE-2020-14497,Advantech,Advantech iView DeviceTreeTable checkForChassisUpdates SQL Injection Remote Code Execution Vulnerability
CVE-2020-14497,Advantech,Advantech iView NetworkServlet SQL Injection Information Disclosure Vulnerability
CVE-2020-14505,Advantech,Advantech iView NetworkServlet restoreDatabase Command Injection Remote Code Execution Vulnerability
CVE-2020-14497,Advantech,Advantech iView NetworkServlet SQL Injection Information Disclosure Vulnerability
CVE-2020-14507,Advantech,Advantech iView ZTPConfig importZtpConfiguration Directory Traversal Information Disclosure Vulnerability
CVE-2020-14497,Advantech,Advantech iView NetworkServlet SQL Injection Remote Code Execution Vulnerability
CVE-2020-14497,Advantech,Advantech iView LinksTable retrieveSearchLinks SQL Injection Remote Code Execution Vulnerability
CVE-2020-12498,Phoenix Contact,Phoenix Contact Automationworx PC WORX MWE File Parsing Out-Of-Bounds Read Remote Code Execution Vulnerability
CVE-2020-12497,Phoenix Contact,Phoenix Contact Automationworx PLCOpen XML File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-12025,Rockwell Automation,(0Day) (Pwn2Own) Rockwell Automation Studio 5000 AML File Parsing XML External Entity Processing Information Disclosure Vulnerability
CVE-2020-9815,Apple,Apple macOS AudioToolboxCore CAF File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-15419,Veeam,Veeam ONE Reporter_ImportLicense Page_Load XML External Entity Processing Information Disclosure Vulnerability
CVE-2020-15418,Veeam,Veeam ONE SSRSReport GetCustomElementText XML External Entity Processing Information Disclosure Vulnerability
CVE-2020-1457,Microsoft,Microsoft Windows hevcdecoder_store HEIC File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-1425,Microsoft,Microsoft Windows hevcdecoder_store HEIC File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-1425,Microsoft,Microsoft Windows hevcdecoder_store HEIC File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-1425,Microsoft,Microsoft Windows hevcdecoder_store HEIC File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-1425,Microsoft,Microsoft Windows hevcdecoder_store HEIC File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-1425,Microsoft,Microsoft Windows hevcdecoder_store MKV File Parsing Use-After-Free Remote Code Execution Vulnerability
CVE-2019-13511,Rockwell Automation,Rockwell Automation Arena Simulation DOE File Parsing Use-After-Free Remote Code Execution Vulnerability
CVE-2019-13511,Rockwell Automation,Rockwell Automation Arena Simulation DOE File Parsing Use-After-Free Remote Code Execution Vulnerability
CVE-2019-13511,Rockwell Automation,Rockwell Automation Arena Simulation DOE File Parsing Use-After-Free Remote Code Execution Vulnerability
CVE-2019-13511,Rockwell Automation,Rockwell Automation Arena Simulation DOE File Parsing Use-After-Free Remote Code Execution Vulnerability
CVE-2019-13511,Rockwell Automation,Rockwell Automation Arena Simulation DOE File Parsing Use-After-Free Remote Code Execution Vulnerability
CVE-2020-10922,C-MORE,C-MORE HMI EA9 EA-HTTP Improper Input Validation Denial-of-Service Vulnerability
CVE-2020-10920,C-MORE,C-MORE HMI EA9 Control Port Missing Authentication for Critical Function Remote Code Execution Vulnerability
CVE-2020-10921,C-MORE,C-MORE HMI EA9 EA-HTTP Missing Authentication for Critical Function Remote Code Execution Vulnerability
CVE-2020-10919,C-MORE,C-MORE HMI EA9 Weak Cryptography for Passwords Information Disclosure Vulnerability
CVE-2020-10918,C-MORE,C-MORE HMI EA9 Authentication Bypass Vulnerability
CVE-2020-1425,Microsoft,Microsoft Windows hevcdecoder_store HEIC File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-6013,Check Point,Check Point ZoneAlarm Symlink Following Privilege Escalation Vulnerability
CVE-2020-1425,Microsoft,Microsoft Windows hevcdecoder_store HEIC File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-1457,Microsoft,Microsoft Windows hevcdecoder_store HEIC File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
,ICONICS,(Pwn2Own) ICONICS Genesis64 PKGX Improper Verification of Cryptographic Signature Remote Code Execution Vulnerability
,Delta Industrial Automation,(0Day) Delta Industrial Automation DOPSoft DPA File Parsing EnRcpNoName Out-Of-Bounds Read Information Disclosure Vulnerability
,Delta Industrial Automation,(0Day) Delta Industrial Automation DOPSoft DPA File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
,Delta Industrial Automation,(0Day) Delta Industrial Automation DOPSoft DPA File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
,Delta Industrial Automation,(0Day) Delta Industrial Automation DOPSoft DPA File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
,Delta Industrial Automation,(0Day) Delta Industrial Automation DOPSoft DPA File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
,Delta Industrial Automation,(0Day) Delta Industrial Automation DOPSoft DPA File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
,Delta Industrial Automation,(0Day) Delta Industrial Automation DOPSoft DPA File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
,Delta Industrial Automation,(0Day) Delta Industrial Automation DOPSoft DPA File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
,Delta Industrial Automation,(0Day) Delta Industrial Automation DOPSoft DPA File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
,Delta Industrial Automation,(0Day) Delta Industrial Automation DOPSoft DPA File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
,Delta Industrial Automation,(0Day) Delta Industrial Automation DOPSoft DPA File Parsing Heap-based Buffer Overflow Remote Code Execution Vulnerability
,Delta Industrial Automation,(0Day) Delta Industrial Automation DOPSoft DPA File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
,Delta Industrial Automation,(0Day) Delta Industrial Automation DOPSoft DPA File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-3969,VMware,VMware Workstation SVGA3D Command Heap Overflow Privilege Escalation Vulnerability
CVE-2020-3962,VMware,VMware Workstation SVGA DXInvalidateContext Use-After-Free Privilege Escalation Vulnerability
CVE-2020-3967,VMware,VMware Workstation EHCI Heap-based Buffer Overflow Privilege Escalation Vulnerability
CVE-2020-3966,VMware,VMware Workstation EHCI Time-Of-Check Time-Of-Use Privilege Escalation Vulnerability
CVE-2020-3970,VMware,VMware Workstation Shader Bytecode Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-3968,VMware,VMware Workstation xHCI Isoch TD Out-Of-Bounds Write Privilege Escalation Vulnerability
CVE-2020-12015,ICONICS,(Pwn2Own) ICONICS Genesis64 IcoFwxServer Deserialization Of Untrusted Data Remote Code Execution Vulnerability
CVE-2020-12013,ICONICS,ICONICS Genesis64 TestQuery SQL Injection Remote Code Execution Vulnerability
CVE-2020-12011,ICONICS,(Pwn2Own) ICONICS Genesis64 VariantClear Out-Of-Bounds Access Remote Code Execution Vulnerability
CVE-2020-12009,ICONICS,(Pwn2Own) ICONICS Genesis64 PKGX WbPackAndGoSettings Absolute Path Traversal Remote Code Execution Vulnerability
